Code,Occupation,Job Zone,Interest1,Interest2,Interest3
51-7032.00,"Patternmakers, Wood",3,Realistic,Investigative,Artistic
49-9063.00,Musical Instrument Repairers and Tuners,3,Realistic,Artistic,Investigative
17-2121.00,Marine Engineers and Naval Architects,4,Investigative,Realistic,Artistic
17-1012.00,Landscape Architects,4,Artistic,Investigative,Realistic
19-3092.00,Geographers,5,Investigative,Realistic,Artistic
19-1042.00,"Medical Scientists, Except Epidemiologists",5,Investigative,Realistic,Artistic
19-1029.02,Molecular and Cellular Biologists,5,Investigative,Realistic,Artistic
19-3091.00,Anthropologists and Archeologists,5,Investigative,Artistic,Realistic
19-2011.00,Astronomers,5,Investigative,Artistic,Realistic
19-1021.00,Biochemists and Biophysicists,5,Investigative,Artistic,Realistic
19-1029.03,Geneticists,5,Investigative,Artistic,Realistic
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2,Realistic,Social,Investigative
29-2031.00,Cardiovascular Technologists and Technicians,3,Realistic,Investigative,Social
51-9082.00,Medical Appliance Technicians,3,Realistic,Investigative,Social
29-2033.00,Nuclear Medicine Technologists,3,Investigative,Realistic,Social
31-2021.00,Physical Therapist Assistants,3,Social,Realistic,Investigative
29-2032.00,Diagnostic Medical Sonographers,3,Investigative,Social,Realistic
29-1141.01,Acute Care Nurses,3,Social,Investigative,Realistic
29-2051.00,Dietetic Technicians,3,Social,Investigative,Realistic
29-2092.00,Hearing Aid Specialists,3,Social,Investigative,Realistic
29-1126.00,Respiratory Therapists,3,Social,Investigative,Realistic
33-3031.00,Fish and Game Wardens,4,Realistic,Investigative,
29-1141.03,Critical Care Nurses,4,Social,Investigative,Realistic
29-1128.00,Exercise Physiologists,4,Social,Investigative,Realistic
29-1071.01,Anesthesiologist Assistants,5,Realistic,Social,Investigative
29-1022.00,Oral and Maxillofacial Surgeons,5,Realistic,Social,Investigative
29-1211.00,Anesthesiologists,5,Investigative,Realistic,Social
29-1021.00,"Dentists, General",5,Investigative,Realistic,Social
29-1151.00,Nurse Anesthetists,5,Investigative,Realistic,Social
29-1023.00,Orthodontists,5,Investigative,Realistic,Social
29-1224.00,Radiologists,5,Investigative,Realistic,Social
29-1291.00,Acupuncturists,5,Social,Realistic,Investigative
29-9091.00,Athletic Trainers,5,Social,Realistic,Investigative
29-2091.00,Orthotists and Prosthetists,5,Social,Realistic,Investigative
29-1229.01,Allergists and Immunologists,5,Investigative,Social,Realistic
29-1213.00,Dermatologists,5,Investigative,Social,Realistic
29-1216.00,General Internal Medicine Physicians,5,Investigative,Social,Realistic
29-1217.00,Neurologists,5,Investigative,Social,Realistic
29-1218.00,Obstetricians and Gynecologists,5,Investigative,Social,Realistic
29-1241.00,"Ophthalmologists, Except Pediatric",5,Investigative,Social,Realistic
29-1041.00,Optometrists,5,Investigative,Social,Realistic
29-1299.02,Orthoptists,5,Investigative,Social,Realistic
29-1229.04,Physical Medicine and Rehabilitation Physicians,5,Investigative,Social,Realistic
29-1081.00,Podiatrists,5,Investigative,Social,Realistic
29-1229.06,Sports Medicine Physicians,5,Investigative,Social,Realistic
29-1229.03,Urologists,5,Investigative,Social,Realistic
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,Social,Investigative,Realistic
25-1052.00,"Chemistry Teachers, Postsecondary",5,Social,Investigative,Realistic
29-1011.00,Chiropractors,5,Social,Investigative,Realistic
25-1032.00,"Engineering Teachers, Postsecondary",5,Social,Investigative,Realistic
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,Social,Investigative,Realistic
